"Metric","RhynieModernDiff","normalizedDiff_modern","PVal_modern","ProportionWithin95ofModern","RhynieNicheDiff","normalizedDiff_niche","PVal_modern.1","ProportionWithin95ofNiche"
"C","-0.0818794222545389","-0.693744079405804","0","1","-0.00371295312700001","-0.0931506014910573","0","0.975"
"L_D","-7.88607305386535","-0.72896497136645","1e-05","1","-0.300079722664","-0.0928349561912945","0","0.977"
"Mean_NTP","-0.712584363999543","-0.248416792661","0","1","-0.374311185936","-0.147936225890967","0","0.933"
"Mean_NTP_norm","-0.308158174650501","-0.419086433161309","0","0","-0.097477598143","-0.185798471038156","0","0.552"
"Max_NTP","1.17009451707289","0.299040340957592","0","0.055","0.238370313783","0.0492072958009608","0","0.958"
"TrOmniv","-0.270639055174633","-0.47177204726611","0.00012","1","-0.349551063259","-0.535648193058807","0","0"
"q_inCoherence","-0.0220791752282655","-0.0367882531138276","0.66187","0.992","-0.332059873009","-0.36483679297557","0","0.097"
"Mean_longest_chain","-0.724594968461163","-0.372739774156997","0","1","-0.608162002129","-0.332773347925133","0","0.197"
"Mean_path_len","0.386278582434069","0.234359759869881","0","0.414","-0.0503476275040002","-0.0241509045108825","0","0.947"
"Std_path_len","0.265330224020847","0.377053654369537","0.00014","0.843","0.0640459946899999","0.0707757286100295","0","0.915"
"MeanInDegree","-7.49808613394614","-0.645850149601123","7e-05","1","-0.468652081503","-0.102326662314957","0","0.919"
"StdInDegree","-7.29191724364424","-0.600587583974454","0.00057","1","0.488532741079","0.11204883869665","0","0.877"
"Basal","0.212968239244999","3.84250070005476","0","0","-0.026052325476","-0.0884799763514107","0","1"
"Herbiv","0.290183173430332","1.0543079306228","0","1","0.348425923035","1.6056769331841","0","0"
"Carniv","-0.190960836739167","-0.422631041683346","6e-05","1","0.00473179057599998","0.0184725859959411","0","1"
"Top","-0.0594598559575214","-0.378889281699336","0.263","1","0.00558330983199999","0.0607458566759565","0","0.993"
